Time (days),Concentration (mg/L),Concentration Upper (mg/L),Concentration Lower (mg/L)
-88.59771954390878,0.6123700514028413,0.6736070565431255,0.5511330462625572
-88.49769953990798,0.6196799019606939,0.6816478921567634,0.5577119117646245
-88.39767953590719,0.6268610646481292,0.6895471711129422,0.5641749581833163
-88.29765953190638,0.6339138050235523,0.6973051855259076,0.5705224245211971
-88.19763952790558,0.6408385127564801,0.7049223640321282,0.5767546614808321
-88.09761952390478,0.6476356939653425,0.7123992633618768,0.5828721245688082
-87.99759951990399,0.6543059638225796,0.7197365602048376,0.5888753674403217
-87.89757951590317,0.6608500394270098,0.7269350433697108,0.5947650354843088
-87.79755951190238,0.6672687329424796,0.7339956062367275,0.6005418596482316
-87.69753950790158,0.6735629450008676,0.7409192395009544,0.6062066505007808
-87.59751950390078,0.6797336583667737,0.7477070242034511,0.6117602925300963
-87.49749949989999,0.6857819318604957,0.7543601250465454,0.6172037386744462
-87.39747949589918,0.6917088945353264,0.760879783988859,0.6225380050817937
-87.29745949189838,0.6975157401046641,0.7672673141151306,0.6277641660941977
-87.19743948789758,0.7032037216139992,0.7735240937753992,0.6328833494525994
-87.09741948389677,0.7087741463524518,0.7796515609876971,0.6378967317172066
-86.99739947989598,0.7142283709982302,0.7856512080980533,0.6428055338984072
-86.89737947589518,0.7195677969921154,0.7915245766913269,0.6476110172929038
-86.79735947189438,0.7247938661328704,0.7972732527461576,0.6523144795195834
-86.69733946789358,0.7299080563883142,0.8028988620271458,0.6569172507494828
-86.59731946389277,0.734911877915673,0.8084030657072404,0.6614206901241058
-86.49729945989198,0.7398068692847487,0.8137875562132236,0.6658261823562739
-86.39727945589118,0.7445945938973775,0.8190540532871153,0.6701351345076397
-86.29725945189038,0.7492766365966594,0.8242043002563254,0.6743489729369935
-86.19723944788957,0.7538546004594058,0.8292400605053464,0.6784691404134652
-86.09721944388878,0.7583301037653275,0.8341631141418603,0.6824970933887947
-85.99719943988798,0.7627047771364942,0.8389752548501437,0.6864342994228448
-85.89717943588718,0.766980260840701,0.8436782869247712,0.690282234756631
-85.79715943188637,0.7711582022524283,0.8482740224776711,0.6940423820271855
-85.69713942788557,0.7752402534652137,0.8527642788117352,0.6977162281186924
-85.59711942388478,0.7792280690493365,0.8571508759542702,0.7013052621444029
-85.49709941988398,0.7831233039488523,0.8614356343437376,0.7048109735539672
-85.39707941588318,0.7869276115121382,0.8656203726633521,0.7082348503609244
-85.29705941188237,0.7906426416502481,0.869706905815273,0.7115783774852233
-85.19703940788158,0.794270039117514,0.8736970430292655,0.7148430352057626
-85.09701940388078,0.7978114419089823,0.8775925860998807,0.7180302977180841
