Time (days),Concentration (mg/L),Concentration Upper (mg/L),Concentration Lower (mg/L)
-91.79835967193439,145.69791258427745,160.2677038427052,131.12812132584972
-91.69833966793358,150.42603660721824,165.46864026794006,135.3834329464964
-91.59831966393278,155.1467156578762,170.66138722366384,139.6320440920886
-91.49829965993199,159.85603756052365,175.84164131657602,143.87043380447128
-91.39827965593119,164.5502672790173,181.00529400691906,148.09524055111558
-91.29825965193038,169.22584700702734,186.14843170773008,152.3032623063246
-91.19823964792958,173.87939554811612,191.26733510292775,156.49145599330453
-91.09821964392879,178.5077070577215,196.35847776349365,160.65693635194935
-90.99819963992799,183.10774921501624,201.41852413651787,164.7969742935146
-90.89817963592719,187.6766608885017,206.44432697735186,168.9089947996515
-90.79815963192638,192.2117493551328,211.4329242906461,172.99057441961952
-90.69813962792558,196.71048712876637,216.38153584164303,177.03943841588975
-90.59811962392479,201.17050844982714,221.28755929480988,181.05345760484443
-90.49809961992398,205.58960548429624,226.14856603272588,185.03064493586663
-90.39807961592318,209.96572427647888,230.9622967041268,188.969151848831
-90.29805961192238,214.29696049650647,235.72665654615713,192.86726444685584
-90.19803960792159,218.58155502017837,240.43971052219624,196.72339951816053
-90.09801960392079,222.81788937557292,245.09967831313023,200.53610043801564
-89.99799959991998,227.00448108783232,249.70492919661558,204.30403297904908
-89.89797959591918,231.139978950685,254.2539768457535,208.02598105561648
-89.79795959191839,235.2231582505761,258.7454740756337,211.7008424255185
-89.69793958791759,239.2529159667707,263.1782075634478,215.32762437009364
-89.59791958391678,243.22826596842273,267.55109256526504,218.90543937158046
-89.49789957991598,247.14833422741896,271.86316765016085,222.43350080467707
-89.39787957591518,251.01235406373746,276.1135894701112,225.91111865736372
-89.29785957191439,254.81966143818255,280.30162758200083,229.3376952943643
-89.19783956791358,258.5696903055694,284.42665933612636,232.71272127501246
-89.09781956391278,262.26196803982475,288.4881648438072,236.03577123584228
-88.99779955991198,265.8961109409534,292.48572203504875,239.30649984685806
-88.89777955591119,269.4718198324458,296.4190018156904,242.52463784920124
-88.79775955191039,272.9888757564329,300.2877633320762,245.6899881807896
-88.69773954790958,276.44713577273495,304.0918493500085,248.80242219546147
-88.59771954390878,279.8465288668898,307.8311817535788,251.86187598020084
-88.49769953990798,283.1870519712848,311.5057571684133,254.86834677415632
-88.39767953590719,286.4687661026397,315.11564271290365,257.8218894923757
-88.29765953190638,289.69179261829004,318.66097188011906,260.72261335646107
-88.19763952790558,292.85630959301506,322.1419405523166,263.57067863371356
-88.09761952390478,295.9625483174952,325.55880314924474,266.3662934857457
-87.99759951990399,299.01078991892075,328.91186891081287,269.1097109270287
-87.89757951590317,302.00136210374103,332.20149831411516,271.80122589336696
-87.79755951190238,304.93463602210085,335.42809962431096,274.4411724198908
-87.69753950790158,307.8110232530846,338.5921255783931,277.0299209277762
-87.59751950390078,310.6309729095471,341.6940702005018,279.5678756185924
-87.49749949989999,313.39496886097925,344.7344657470772,282.05547197488136
-87.39747949589918,316.10352707259534,347.7138797798549,284.4931743653358
